Food commodity ITEM,Carbon Footprint kg CO2eq/kg or l of food ITEM,Water Footprint liters water/kg o liter of food ITEM,FDC ID,FDC Food Name
CHOCOLATE OR CREAM FILLED COOKIES**,1.53,2902.0,2707915,"Cookie, chocolate or fudge"
SIMPLE COOKIES**,1.39,1723.0,2707964,"Cookie, shortbread"
BREAD MULTICEREAL**,0.7,771.0,2707777,"Bread, multigrain"
BREAD PLAIN**,0.89,1031.0,174929,"Bread, sticks, plain"
BREAD WHOLE**,0.77,887.0,2707709,"Bread, whole wheat"
FLAVORED CRACKERS**,0.93,1378.0,2055556,FLAVORED CRACKERS
PLAIN CRACKERS**,1.35,1447.0,2708146,"Crackers, butter, plain"
WHOLEGRAIN CRACKERS**,0.97,617.0,2708170,"Crackers, multigrain"
CRISPBREAD**,1.35,1423.0,2656088,CRISPBREAD
KETCHUP,1.46,534.0,2709733,Ketchup
EGG PASTA*,3.15,4637.0,726428,EGG PASTA
ORANGE JUICE,0.46,1019.0,2098640,ORANGE JUICE
OAT MEAL,0.87,2536.0,2708398,"Oatmeal, multigrain"
CHOCOLATE,6.6,17196.0,2071860,CHOCOLATE
BEANS (F),1.77,801.0,2707400,"Bean dip, made with refried beans"
MARGARINE*,1.39,1324.0,2472598,MARGARINE
OLIVE OIL,3.27,14415.0,2710186,Olive oil
PALM OIL,2.43,4971.0,171015,"Oil, palm"
PEANUT OIL,2.9,7529.0,2710187,Peanut oil
RAPESEED OIL,1.79,4301.0,598232,RAPESEED OIL
SOYBEAN OIL,1.79,4190.0,2710191,Soybean oil
SUNFLOWER OIL,0.98,6792.0,2710192,Sunflower oil
PASTA*,1.21,1508.0,2071343,PASTA
PESTO,2.71,2099.0,1972571,PESTO
PESTO WITHOUT GARLIC,2.72,2249.0,2710175,Pesto sauce
BEET SUGAR,0.94,865.0,2710071,"Beets, pickled"
CANE SUGAR,0.62,1724.0,1882741,CANE SUGAR
CAKES AND CROISSANT**,2.14,1640.0,2707678,Croissant
COCOA CAKES AND CROISSANT**,1.94,3468.0,2707678,Croissant
TOMATO PEELED,1.3,267.0,2303724,PEELED TOMATOES
TOMATO PUREE,1.03,713.0,2434585,TOMATO PUREE
TOMATO & BASIL,1.14,147.0,2705818,"Mozzarella cheese, tomato, and basil, with oil and vinegar dressing"
TOMATO ARRABBIATA,1.24,155.0,2538802,"ARRABBIATA SPICY TOMATO SAUCE, ARRABBIATA"
CORN CANNED,1.36,807.0,2709921,"Corn, canned, cooked with oil"
QUORNE,2.5,2000.0,2068712,BREADED CHIK'N CUTLETS
SOY BURGER,1.48,1053.0,174287,"Veggie burgers or soyburgers, unprepared"
TOFU,2.27,1724.5,2294522,TOFU
YEAST COMPRESSED*,0.82,51.0,175042,"Leavening agents, yeast, baker's, compressed"
BEEF BONE FREE MEAT*,25.75,15139.0,2705854,"Beef, ground"
BUTTER*,8.48,5659.0,1920273,BUTTER
CREAM,5.45,3838.0,2705597,"Cream, heavy"
MASCARPONE,5.7,6100.0,2289625,MASCARPONE
MOZZARELLA,8.2,9410.0,1948692,MOZZARELLA
RICOTTA,3.4,2470.5,2705750,"Cheese, Ricotta"
STRACCHINO,4.92,5600.0,2545641,"CRESCENZA STRACCHINO, CRESCENZA"
CHEESE,8.93,5253.0,1943515,CHEESE
PARMIGIANO REGGIANO,12.54,10200.0,2021131,PARMIGIANO REGGIANO
MEALWORMS*,2.84,4341.0,2151819,"COCONUT BRITTLE BUGITOS, COCONUT BRITTLE"
LAMB BONE FREE MEAT*,25.23,10412.0,1458338,LAMB BONE-IN LAMB LEGS
LAMB MEAT WITH BONE*,16.7,4362.0,2705907,"Lamb, ground"
COW MILK,1.31,1260.5,2658737,MILK
PORK BONE FREE MEAT*,5.72,6299.0,2705897,"Pork, bones"
BACON,4.03,6116.0,2128991,BACON
CHICKEN BONE FREE MEAT,3.68,3960.0,2706091,"Chicken, ground"
YOGURT WHITE,1.69,1540.0,2554062,YOGURT
CLEMENTINE,0.41,748.0,1662569,CLEMENTINE
LEMON,0.22,642.0,2038425,LEMON
LIME,0.22,642.0,2709306,Lime souffle
MANDARIN,0.45,748.0,2710832,"Mandarin, seedless, peeled, raw"
ORANGE,0.3,654.0,1864680,ORANGE
TANGERIN,0.38,748.0,2709175,"Tangerine, raw"
APPLE,0.25,622.0,454004,APPLE
APRICOT,0.3,1287.0,2107589,APRICOT
AVOCADO,0.54,1805.0,2709223,"Avocado, raw"
BANANA,0.34,500.0,2012128,BANANA
FIG,0.26,3350.0,2216672,FIG
GRAPES,0.31,608.0,2388443,GRAPES
GUAVA,0.28,1800.0,2295367,GUAVA
KIWI,0.49,514.0,1662236,KIWI
MANGO,0.31,1855.0,2680464,MANGO
PEACH,0.39,910.0,2053614,PEACH
PEAR,0.27,922.0,2709254,"Pear, raw"
PINEAPPLE,0.28,255.0,2282543,PINEAPPLE
PLUM,0.26,2180.0,2709265,"Plum, raw"
WATERMELON,0.52,185.0,2193119,WATERMELON
BLACKBERRY,0.42,413.0,454155,BLACKBERRY
BLUEBERRY,0.78,845.0,2116605,BLUEBERRY
CRANBERRY,0.87,276.0,2094987,CRANBERRY
CURRANT,0.64,499.0,2709201,"Currants, dried"
GOOSEBERRY,0.84,526.0,173030,"Gooseberries, raw"
RASPBERRY,0.63,413.0,2163278,RASPBERRY
STRAWBERRY,0.61,247.9,1980577,STRAWBERRY
BARLEY,0.48,1423.0,2708361,Barley
MAIZE,0.48,1191.0,2708376,"Masa harina, cooked"
MILLET,0.86,4478.0,2708377,Millet
OAT,0.67,1788.0,2708489,"Oats, raw"
RYE,0.38,1554.0,2636746,RYE
SORGHUM,0.88,3048.0,169716,Sorghum grain
WHEAT,0.57,1639.0,2707720,"Bread, wheat or cracked wheat"
BEAN,0.43,5053.0,2707400,"Bean dip, made with refried beans"
CHICKPEA,0.77,4177.0,1865046,CHICKPEA
COWPEA,0.49,6906.0,169224,"Cowpeas, leafy tips, raw"
LENTIL,1.03,5874.0,2707431,Lentil curry
PEA,0.45,1979.0,170419,"Peas, green, raw"
SOYBEAN,0.56,1816.4,174271,"Soybeans, mature cooked, boiled, without salt"
CHESTNUT,0.44,2750.0,2051353,CHESTNUT
MIXED NUTS,0.47,9063.0,2614310,MIXED NUTS
PALM NUT,0.8,2868.0,2707505,"Mixed nuts, unroasted"
PEANUT,0.83,2782.0,2088304,PEANUT
PISTACHIO,1.6,11363.0,2043616,PISTACHIO
SESAM SEED,0.88,9371.0,2707586,Sesame seeds
SUNFLOWER SEED,1.16,3366.0,2707584,"Sunflower seeds, flavored"
CHILLY,0.8,7365.0,2585446,"CHILLI POWDER BLEND, CHILLI"
GINGER,0.88,1657.0,2127806,GINGER
POTATO,0.24,554.8,2710790,"Potato, cooked, as ingredient"
SWEET POTATO,0.27,383.0,477475,SWEET POTATO
CABAGGE,0.23,280.0,169975,"Cabbage, raw"
LETTUCE,0.41,237.0,2709789,"Lettuce, raw"
SPINACH,0.34,292.0,1905313,SPINACH
CARROT,0.24,195.0,2709660,"Carrots, raw"
GARLIC,0.71,589.0,1662203,GARLIC
ONION,0.22,290.0,2438059,ONION
TURNIP,0.35,195.0,170470,"Turnip greens and turnips, frozen, unprepared"
ARTICHOKE,0.33,818.0,2709766,Artichoke
BROCCOLI,0.57,325.0,2549992,BROCCOLI
CAULIFLOWER,0.31,285.0,2409200,CAULIFLOWER
CUCUMBER,0.27,353.0,2709821,Cucumber salad made with cucumber and vinegar
EGGPLANT,0.19,362.0,2710049,Eggplant dip
PEPPER,0.65,379.0,1889244,PEPPER
PUMPKIN,0.24,400.0,2434324,PUMPKIN
TOMATO,0.45,41.0,2293024,TOMATO
ZUCCHINI,0.7,336.0,2428955,ZUCCHINI
CARP,1.76,2364.0,2706233,"Fish, carp"
COD,3.08,2782.0,2099857,COD
SALMON,3.37,2193.0,2016166,SALMON
TROUT,4.2,2188.0,2706306,"Fish, trout, fried"
TURBOT,14.51,1504.0,173710,"Fish, turbot, european, raw"
