FOOD COMMODITY GROUP_x,Food commodity ITEM,Carbon Footprint kg CO2eq/kg or l of food ITEM,Uncertainty    low (L) high (H),Suggested CF value,Food commodity TYPOLOGY_x,Carbon Footprint g CO2eq/g o cc of food TYPOLOGY,Food commodity sub-TYPOLOGY_x,Carbon Footprint g CO2eq/g o cc of food sub-TYPOLOGY,FOOD COMMODITY GROUP_y,Water Footprint liters water/kg o liter of food ITEM,Uncertainty    low  (L)  high (H),Suggested WF value,Food commodity TYPOLOGY_y,Water Footprint cc water/g o cc of food TYPOLOGY,Food commodity sub-TYPOLOGY_y,Water Footprint cc water/g o cc of food sub-TYPOLOGY
AGRICULTURAL PROCESSED,CHOCOLATE OR CREAM FILLED COOKIES**,1.53,L,OK item,BISCUITS,1.47,-,-,AGRICULTURAL PROCESSED,2902.0,L,ok item,BISCUITS,1870.0,-,-
AGRICULTURAL PROCESSED,SIMPLE COOKIES**,1.39,L,OK item,BISCUITS,1.47,-,-,AGRICULTURAL PROCESSED,1723.0,L,ok item,BISCUITS,1870.0,-,-
AGRICULTURAL PROCESSED,BREAD MULTICEREAL**,0.7,H,better typology,BREAD,0.86,-,-,AGRICULTURAL PROCESSED,771.0,L,better typology,BREAD,902.0,-,-
AGRICULTURAL PROCESSED,BREAD PLAIN**,0.89,L,OK item,BREAD,0.86,-,-,AGRICULTURAL PROCESSED,1031.0,L,ok item,BREAD,902.0,-,-
AGRICULTURAL PROCESSED,BREAD WHOLE**,0.77,L,OK item,BREAD,0.86,-,-,AGRICULTURAL PROCESSED,887.0,L,ok item,BREAD,902.0,-,-
AGRICULTURAL PROCESSED,FLAVORED CRACKERS**,0.93,L,OK item,CRACKERS,0.98,-,-,AGRICULTURAL PROCESSED,1378.0,L,ok item,CRACKERS,1258.0,-,-
AGRICULTURAL PROCESSED,PLAIN CRACKERS**,1.35,L,OK item,CRACKERS,0.98,-,-,AGRICULTURAL PROCESSED,1447.0,L,ok item,CRACKERS,1258.0,-,-
AGRICULTURAL PROCESSED,WHOLEGRAIN CRACKERS**,0.97,L,OK item,CRACKERS,0.98,-,-,AGRICULTURAL PROCESSED,617.0,L,ok item,CRACKERS,1258.0,-,-
AGRICULTURAL PROCESSED,CRISPBREAD**,1.35,L,OK item,CRISPBREAD**,1.35,-,-,AGRICULTURAL PROCESSED,1423.0,L,item matching typology,CRISPBREAD**,1423.0,-,-
AGRICULTURAL PROCESSED,KETCHUP,1.46,H,better typology,DRESSING,1.46,-,-,AGRICULTURAL PROCESSED,534.0,L,ok item,DRESSING,572.0,-,-
AGRICULTURAL PROCESSED,EGG PASTA*,3.15,L,Item matching typology,EGG PASTA*,3.15,-,-,AGRICULTURAL PROCESSED,4637.0,H,item matching typology,EGG PASTA*,4637.0,-,-
AGRICULTURAL PROCESSED,ORANGE JUICE,0.46,L,OK item,FRUIT JUICE LOCAL,0.48,-,-,AGRICULTURAL PROCESSED,1019.0,L,ok item,JUICE,1019.0,-,-
AGRICULTURAL PROCESSED,OAT MEAL,0.87,L,OK item,GRAIN FLOUR,0.87,-,-,AGRICULTURAL PROCESSED,2536.0,L,ok item,GRAIN FLOUR,1889.0,-,-
AGRICULTURAL PROCESSED,CHOCOLATE,6.6,H,better typology,ICE CREAM,4.3,-,-,AGRICULTURAL PROCESSED,17196.0,L,ok item,COCOA DERIVATES,20717.0,-,-
AGRICULTURAL PROCESSED,BEANS (F),1.77,H,better typology,LEGUMES FROZEN,2.26,-,-,AGRICULTURAL PROCESSED,801.0,L,ok item,VEGETABLES FROZEN,750.0,-,-
AGRICULTURAL PROCESSED,MARGARINE*,1.39,L,Item matching typology,MARGARINE*,1.39,-,-,AGRICULTURAL PROCESSED,1324.0,L,item matching typology,MARGARINE*,1324.0,-,-
AGRICULTURAL PROCESSED,OLIVE OIL,3.27,L,OK item,OIL,2.11,-,-,AGRICULTURAL PROCESSED,14415.0,L,ok item,OIL,6792.0,-,-
AGRICULTURAL PROCESSED,PALM OIL,2.43,L,OK item,OIL,2.11,-,-,AGRICULTURAL PROCESSED,4971.0,L,ok item,OIL,6792.0,-,-
AGRICULTURAL PROCESSED,PEANUT OIL,2.9,H,better typology,OIL,2.11,-,-,AGRICULTURAL PROCESSED,7529.0,L,ok item,OIL,6792.0,-,-
AGRICULTURAL PROCESSED,RAPESEED OIL,1.79,L,OK item,OIL,2.11,-,-,AGRICULTURAL PROCESSED,4301.0,L,ok item,OIL,6792.0,-,-
AGRICULTURAL PROCESSED,SOYBEAN OIL,1.79,L,OK item,OIL,2.11,-,-,AGRICULTURAL PROCESSED,4190.0,L,ok item,OIL,6792.0,-,-
AGRICULTURAL PROCESSED,SUNFLOWER OIL,0.98,L,OK item,OIL,2.11,-,-,AGRICULTURAL PROCESSED,6792.0,L,ok item,OIL,6792.0,-,-
AGRICULTURAL PROCESSED,PASTA*,1.21,L,OK item,PASTA*,1.21,-,-,AGRICULTURAL PROCESSED,1508.0,L,item matching typology,PASTA*,1508.0,-,-
AGRICULTURAL PROCESSED,PESTO,2.71,H,better typology,PESTO,2.72,-,-,AGRICULTURAL PROCESSED,2099.0,H,better typology,PESTO,2174.0,-,-
AGRICULTURAL PROCESSED,PESTO WITHOUT GARLIC,2.72,H,better typology,PESTO,2.72,-,-,AGRICULTURAL PROCESSED,2249.0,H,better typology,PESTO,2174.0,-,-
AGRICULTURAL PROCESSED,BEET SUGAR,0.94,L,OK item,SUGAR,0.78,-,-,AGRICULTURAL PROCESSED,865.0,L,ok item,SUGAR,1294.0,-,-
AGRICULTURAL PROCESSED,CANE SUGAR,0.62,L,OK item,SUGAR,0.78,-,-,AGRICULTURAL PROCESSED,1724.0,L,ok item,SUGAR,1294.0,-,-
AGRICULTURAL PROCESSED,CAKES AND CROISSANT**,2.14,L,OK item,SWEETS,1.99,-,-,AGRICULTURAL PROCESSED,1640.0,L,ok item,SWEETS,2158.0,-,-
AGRICULTURAL PROCESSED,COCOA CAKES AND CROISSANT**,1.94,L,OK item,SWEETS,1.99,-,-,AGRICULTURAL PROCESSED,3468.0,L,ok item,SWEETS,2158.0,-,-
AGRICULTURAL PROCESSED,TOMATO PEELED,1.3,H,better typology,"TOMATO PUREE,PEELED, CHOPPED",1.3,-,-,AGRICULTURAL PROCESSED,267.0,L,ok item,"TOMATO PUREE,PEELED, CHOPPED",713.0,-,-
AGRICULTURAL PROCESSED,TOMATO PUREE,1.03,L,OK item,"TOMATO PUREE,PEELED, CHOPPED",1.3,-,-,AGRICULTURAL PROCESSED,713.0,L,ok item,"TOMATO PUREE,PEELED, CHOPPED",713.0,-,-
AGRICULTURAL PROCESSED,TOMATO & BASIL,1.14,L,OK item,TOMATO SAUCE,1.19,-,-,AGRICULTURAL PROCESSED,147.0,L,ok item,TOMATO SAUCE,151.0,-,-
AGRICULTURAL PROCESSED,TOMATO ARRABBIATA,1.24,L,OK item,TOMATO SAUCE,1.19,-,-,AGRICULTURAL PROCESSED,155.0,L,ok item,TOMATO SAUCE,151.0,-,-
AGRICULTURAL PROCESSED,CORN CANNED,1.36,H,better typology,VEGETABLES CANNED,1.48,-,-,AGRICULTURAL PROCESSED,807.0,H,item matching typology,VEGETABLES CANNED,807.0,-,-
AGRICULTURAL PROCESSED,QUORNE,2.5,H,better typology,VEGETAL PROTEINS,2.27,-,-,AGRICULTURAL PROCESSED,2000.0,H,better typology,VEGETAL PROTEINS,1724.0,-,-
AGRICULTURAL PROCESSED,SOY BURGER,1.48,H,better typology,VEGETAL PROTEINS,2.27,-,-,AGRICULTURAL PROCESSED,1053.0,L,ok item,VEGETAL PROTEINS,1724.0,-,-
AGRICULTURAL PROCESSED,TOFU,2.27,L,OK item,VEGETAL PROTEINS,2.27,-,-,AGRICULTURAL PROCESSED,1724.5,H,better typology,VEGETAL PROTEINS,1724.0,-,-
AGRICULTURAL PROCESSED,YEAST COMPRESSED*,0.82,H,Item matching typology,YEAST COMPRESSED*,0.824,-,-,AGRICULTURAL PROCESSED,51.0,H,item matching typology,YEAST COMPRESSED*,51.0,,-
ANIMAL HUSBANDRY,BEEF BONE FREE MEAT*,25.75,H,Item matching typology,BEEF BONE FREE MEAT*,25.75,,-,ANIMAL HUSBANDRY,15139.0,L,item matching typology,BEEF BONE FREE MEAT*,15139.0,,-
ANIMAL HUSBANDRY,BUTTER*,8.48,L,OK item,BUTTER*,8.48,-,-,ANIMAL HUSBANDRY,5659.0,L,item matching typology,BUTTER*,5659.0,-,-
ANIMAL HUSBANDRY,CREAM,5.45,L,OK item,CHEESE FRESH,5.45,-,-,ANIMAL HUSBANDRY,3838.0,L,ok item,CHEESE,5253.0,-,-
ANIMAL HUSBANDRY,MASCARPONE,5.7,H,better typology,CHEESE FRESH,5.45,-,-,ANIMAL HUSBANDRY,6100.0,H,better typology,CHEESE,5253.0,-,-
ANIMAL HUSBANDRY,MOZZARELLA,8.2,L,OK item,CHEESE FRESH,5.45,-,-,ANIMAL HUSBANDRY,9410.0,H,better typology,CHEESE,5253.0,-,-
ANIMAL HUSBANDRY,RICOTTA,3.4,H,better typology,CHEESE FRESH,5.45,-,-,ANIMAL HUSBANDRY,2470.5,L,ok item,CHEESE,5253.0,-,-
